Prot1,Prot2,Binding_Score,PDBs
Q9NZN1,Q9NZN1,14.050902,Q9NZN1_Q9NZN1.pdb
P35613,P13612,-3.639254,P35613_P13612.pdb
Q8N423,Q13291,73.493215,Q8N423_Q13291.pdb
P31785,P15260,37.72439,P31785_P15260.pdb
P32926,Q9Y5E1,7.340347,P32926_Q9Y5E1.pdb
P08648,P16144,-21.987086,P08648_P16144.pdb
Q9Y5E1,Q9Y5F9,-5.28232,Q9Y5E1_Q9Y5F9.pdb
Q12913,Q16827,209.222263,Q12913_Q16827.pdb
Q9Y5H8,Q9Y5F7,-5.031791,Q9Y5H8_Q9Y5F7.pdb
Q9UN73,Q9Y5I0,-3.727132,Q9UN73_Q9Y5I0.pdb
P26006,P20702,26.177253,P26006_P20702.pdb
Q9UN66,Q08174,-4.719701,Q9UN66_Q08174.pdb
P01730,Q8NI17,125.961624,P01730_Q8NI17.pdb
P22897,P22897,-4.125914,P22897_P22897.pdb
Q5ZPR3,Q9P1W8,54.157339,Q5ZPR3_Q9P1W8.pdb
P01732,P20701,1.417159,P01732_P20701.pdb
P01730,Q8TD46,175.604036,P01730_Q8TD46.pdb
P43146,Q15109,81.298081,P43146_Q15109.pdb
Q9Y5H2,Q9Y5G2,-5.176075,Q9Y5H2_Q9Y5G2.pdb
P11912,P18627,50.618896,P11912_P18627.pdb
Q9NYQ8,Q96JQ0,-4.742748,Q9NYQ8_Q96JQ0.pdb
P09603,P05106,295.768712,P09603_P05106.pdb
Q15768,P54764,7.564132,Q15768_P54764.pdb
P09693,P08069,14.856715,P09693_P08069.pdb
P42702,Q04721,184.584271,P42702_Q04721.pdb
P01732,P43627,96.691379,P01732_P43627.pdb
Q9Y5F2,Q9NRJ7,-5.826926,Q9Y5F2_Q9NRJ7.pdb
O15197,P14616,1.920537,O15197_P14616.pdb
P04626,P21802,104.580949,P04626_P21802.pdb
Q8NFZ4,Q9P2S2,80.34485,Q8NFZ4_Q9P2S2.pdb
Q14574,Q9Y5G2,-2.818977,Q14574_Q9Y5G2.pdb
Q96QU1,Q9UN73,-2.518233,Q96QU1_Q9UN73.pdb
Q96JQ0,Q9H158,-4.694778,Q96JQ0_Q9H158.pdb
Q07954,O75581,900.249272,Q07954_O75581.pdb
P26006,P18564,-5.915599,P26006_P18564.pdb
P54753,P46531,21.197701,P54753_P46531.pdb
Q12866,P36897,36.751456,Q12866_P36897.pdb
Q9H7M9,P26010,3.293718,Q9H7M9_P26010.pdb
P22455,O75144,107.113207,P22455_O75144.pdb
P01730,Q15116,7.041731,P01730_Q15116.pdb
Q9NPH3,Q9NP60,70.081588,Q9NPH3_Q9NP60.pdb
O75144,P18627,117.915146,O75144_P18627.pdb
Q8TAB3,Q9Y5F3,-5.526528,Q8TAB3_Q9Y5F3.pdb
P55285,Q86SJ6,1.602396,P55285_Q86SJ6.pdb
Q9P2E7,Q9Y5G5,-4.991484,Q9P2E7_Q9Y5G5.pdb
P04440,Q30201,261.714663,P04440_Q30201.pdb
Q7Z6A9,P15391,22.230126,Q7Z6A9_P15391.pdb
Q8N126,Q9P244,33.334185,Q8N126_Q9P244.pdb
P01732,P16284,-4.7,P01732_P16284.pdb
P43626,Q29983,255.425652,P43626_Q29983.pdb
P13688,P13726,93.243885,P13688_P13726.pdb
P55291,Q9Y5E7,-4.660607,P55291_Q9Y5E7.pdb
Q9Y5E1,Q9Y5G7,-5.002904,Q9Y5E1_Q9Y5G7.pdb
P26010,Q13332,172.383729,P26010_Q13332.pdb
Q9Y5E9,Q9Y5F6,-5.478069,Q9Y5E9_Q9Y5F6.pdb
P05362,P35590,47.647248,P05362_P35590.pdb
P32942,P20701,117.012253,P32942_P20701.pdb
Q9ULB5,Q9Y5E4,-1.059682,Q9ULB5_Q9Y5E4.pdb
P07766,P16871,-5.690885,P07766_P16871.pdb
P16109,P15529,-3.514554,P16109_P15529.pdb
Q86YT9,Q8N423,217.494895,Q86YT9_Q8N423.pdb
P16410,Q01638,135.807057,P16410_Q01638.pdb
P98172,P54753,3.258568,P98172_P54753.pdb
Q9Y5I3,Q9Y5G5,-4.968062,Q9Y5I3_Q9Y5G5.pdb
P33151,Q9BQT9,42.211061,P33151_Q9BQT9.pdb
P29317,P29317,4.46638,P29317_P29317.pdb
P22607,P08648,219.062049,P22607_P08648.pdb
Q14574,Q9BZA8,-0.440499,Q14574_Q9BZA8.pdb
O75309,Q9Y5H8,-5.479555,O75309_Q9Y5H8.pdb
Q16832,Q13308,78.002073,Q16832_Q13308.pdb
P13612,Q13349,30.364186,P13612_Q13349.pdb
Q9Y5H0,Q9Y5F6,-4.641346,Q9Y5H0_Q9Y5F6.pdb
P05067,Q495A1,-4.442931,P05067_Q495A1.pdb
P00533,P16471,-4.535615,P00533_P16471.pdb
Q02413,O14917,5.054511,Q02413_O14917.pdb
Q6UXL0,Q6UWB1,30.246496,Q6UXL0_Q6UWB1.pdb
Q6V0I7,Q96QU1,-4.749502,Q6V0I7_Q96QU1.pdb
Q15109,O00206,0.266883,Q15109_O00206.pdb
P20594,P17342,6.229941,P20594_P17342.pdb
Q9UQV4,Q9UJQ1,149.969568,Q9UQV4_Q9UJQ1.pdb
P48551,Q04721,131.44872,P48551_Q04721.pdb
O95297,O00206,-2.946232,O95297_O00206.pdb
O95727,Q92823,63.350464,O95727_Q92823.pdb
P01732,Q08708,23.668964,P01732_Q08708.pdb
P12318,O95976,220.65232,P12318_O95976.pdb
P16871,P16471,5.888781,P16871_P16471.pdb
P01732,Q6PCB8,105.62913,P01732_Q6PCB8.pdb
Q96FE5,O94933,82.368801,Q96FE5_O94933.pdb
O14672,P39656,68.529491,O14672_P39656.pdb
P33681,Q01151,24.344555,P33681_Q01151.pdb
Q6UWB1,Q8NET5,-1.460177,Q6UWB1_Q8NET5.pdb
P22223,Q9H158,-1.301574,P22223_Q9H158.pdb
Q95460,Q8TD07,702.664331,Q95460_Q8TD07.pdb
P32926,Q9Y5H5,5.855115,P32926_Q9Y5H5.pdb
P01911,P01911,-0.405286,P01911_P01911.pdb
O60469,Q15223,96.652294,O60469_Q15223.pdb
O94985,Q96JQ0,1.764909,O94985_Q96JQ0.pdb
P51511,Q9Y5R2,2.265013,P51511_Q9Y5R2.pdb
Q02487,Q9Y5E9,-0.75971,Q02487_Q9Y5E9.pdb
Q96FE5,O60500,280.816013,Q96FE5_O60500.pdb
Q8IXH8,Q9Y5H3,-3.703787,Q8IXH8_Q9Y5H3.pdb
Q7Z6A9,P04626,1.598159,Q7Z6A9_P04626.pdb
Q96JQ0,Q9Y5G9,-5.017513,Q96JQ0_Q9Y5G9.pdb
P11912,P11215,0.105017,P11912_P11215.pdb
Q02487,Q6V0I7,-0.043972,Q02487_Q6V0I7.pdb
Q86SU0,O95944,17.198009,Q86SU0_O95944.pdb
Q15303,P35968,146.429071,Q15303_P35968.pdb
P55287,Q9Y5I0,-0.301512,P55287_Q9Y5I0.pdb
Q14574,Q9Y5F1,-3.540257,Q14574_Q9Y5F1.pdb
P55285,Q9NPG4,-2.582888,P55285_Q9NPG4.pdb
Q9Y5H7,O60330,-4.707342,Q9Y5H7_O60330.pdb
Q6UXL0,P07204,70.356878,Q6UXL0_P07204.pdb
O75578,Q13349,12.735942,O75578_Q13349.pdb
P21709,P22607,12.639947,P21709_P22607.pdb
Q86YC3,Q9NYK1,31.991925,Q86YC3_Q9NYK1.pdb
P55289,Q96JQ0,-2.791705,P55289_Q96JQ0.pdb
P14770,Q96PX8,9.795695,P14770_Q96PX8.pdb
P26006,P32004,288.626262,P26006_P32004.pdb
Q12864,Q9Y5E8,-5.515965,Q12864_Q9Y5E8.pdb
P43627,P43628,15.279065,P43627_P43628.pdb
Q12864,Q9UJ99,1.307167,Q12864_Q9UJ99.pdb
P58400,Q9HDB5,17.978522,P58400_Q9HDB5.pdb
P36888,Q8NI17,76.960645,P36888_Q8NI17.pdb
Q15762,Q07699,196.635879,Q15762_Q07699.pdb
O75578,Q8IW00,-0.188452,O75578_Q8IW00.pdb
P08575,P15151,81.449132,P08575_P15151.pdb
Q92542,Q15363,236.630366,Q92542_Q15363.pdb
Q8TDW7,Q9Y5H1,-4.934507,Q8TDW7_Q9Y5H1.pdb
P14616,P23470,331.459201,P14616_P23470.pdb
Q9NPH3,P15151,112.780904,Q9NPH3_P15151.pdb
P06729,Q8NET5,13.152668,P06729_Q8NET5.pdb
Q92854,Q92854,-12.247983,Q92854_Q92854.pdb
P21709,O15197,6.324472,P21709_O15197.pdb
Q8TDY8,P19320,35.847924,Q8TDY8_P19320.pdb
O14786,P34741,13.203531,O14786_P34741.pdb
P23468,P23470,340.875669,P23468_P23470.pdb
P29323,P29323,1.270031,P29323_P29323.pdb
Q5DX21,P13612,47.696237,Q5DX21_P13612.pdb
P26010,Q9BZZ2,209.328083,P26010_Q9BZZ2.pdb
P29320,P10721,187.997247,P29320_P10721.pdb
O75882,Q8TDF5,86.599317,O75882_Q8TDF5.pdb
P54760,P16471,8.965167,P54760_P16471.pdb
Q7Z6A9,O60603,-1.462478,Q7Z6A9_O60603.pdb
P04439,P30511,47.255941,P04439_P30511.pdb
P20273,Q96LA6,37.011335,P20273_Q96LA6.pdb
O60469,P05107,410.289851,O60469_P05107.pdb
Q86UP0,Q9NRJ7,-2.409659,Q86UP0_Q9NRJ7.pdb
Q8TDW7,Q9H158,-4.894659,Q8TDW7_Q9H158.pdb
Q9H4D0,Q9BZA8,9.568103,Q9H4D0_Q9BZA8.pdb
Q9H4D0,Q9HCL0,10.220195,Q9H4D0_Q9HCL0.pdb
P54760,P09619,50.220159,P54760_P09619.pdb
P29322,P29322,7.410501,P29322_P29322.pdb
O14917,Q9Y5G0,-4.616241,O14917_Q9Y5G0.pdb
P33681,Q9BQ51,116.291712,P33681_Q9BQ51.pdb
P04439,P24071,258.710995,P04439_P24071.pdb
P24071,Q8NHL6,236.126567,P24071_Q8NHL6.pdb
P07766,P16581,9.948124,P07766_P16581.pdb
Q8NER5,P09619,1.63541,Q8NER5_P09619.pdb
Q8N126,Q9HCK4,57.671068,Q8N126_Q9HCK4.pdb
Q9H159,O94985,2.341933,Q9H159_O94985.pdb
Q9NPY3,P07204,16.319825,Q9NPY3_P07204.pdb
Q15375,P13612,-4.174387,Q15375_P13612.pdb
P04439,P01909,285.856334,P04439_P01909.pdb
P01889,Q8N743,-3.038951,P01889_Q8N743.pdb
P16410,Q15303,99.759475,P16410_Q15303.pdb
Q14126,Q9H158,-0.151009,Q14126_Q9H158.pdb
P21860,Q01638,45.572013,P21860_Q01638.pdb
Q9UKX5,Q8TF66,24.46378,Q9UKX5_Q8TF66.pdb
Q9Y5F3,Q9Y5G1,-5.277088,Q9Y5F3_Q9Y5G1.pdb
P32926,Q9Y5I1,6.57176,P32926_Q9Y5I1.pdb
O60245,O95206,-5.065281,O60245_O95206.pdb
O14917,Q9Y5F7,-4.903205,O14917_Q9Y5F7.pdb
P30511,Q9BX59,220.591098,P30511_Q9BX59.pdb
P09564,P40189,98.389338,P09564_P40189.pdb
O14672,P78536,3.340341,O14672_P78536.pdb
Q8TDW7,Q9Y5G7,-4.965914,Q8TDW7_Q9Y5G7.pdb
Q9NYQ8,Q9P2S2,4.457789,Q9NYQ8_Q9P2S2.pdb
P04439,P01906,289.683009,P04439_P01906.pdb
P09564,O15455,-5.682377,P09564_O15455.pdb
P55285,Q9Y5I0,2.627699,P55285_Q9Y5I0.pdb
P51805,P51805,7.63168,P51805_P51805.pdb
P55283,Q9Y5H2,-2.653385,P55283_Q9Y5H2.pdb
Q9H4D0,Q14574,4.325451,Q9H4D0_Q14574.pdb
Q9Y5H2,O60330,-5.083776,Q9Y5H2_O60330.pdb
P04626,Q8TD46,114.647387,P04626_Q8TD46.pdb
P01889,Q30154,78.88996,P01889_Q30154.pdb
Q9Y5H3,Q9Y5F8,-4.779336,Q9Y5H3_Q9Y5F8.pdb
Q6V0I7,Q9Y5G0,-4.594939,Q6V0I7_Q9Y5G0.pdb
Q9H7M9,P19320,269.836334,Q9H7M9_P19320.pdb
P03372,Q92729,-5.730853,P03372_Q92729.pdb
Q6UXL0,P16871,9.456686,Q6UXL0_P16871.pdb
Q5JZY3,Q02763,117.209145,Q5JZY3_Q02763.pdb
Q14114,P46531,18.277147,Q14114_P46531.pdb
Q9H159,Q9H159,-5.197007,Q9H159_Q9H159.pdb
Q9UN67,Q9Y5F1,-5.213754,Q9UN67_Q9Y5F1.pdb
Q8TDQ1,P00533,88.765865,Q8TDQ1_P00533.pdb
Q99665,P42702,120.579911,Q99665_P42702.pdb
P05067,Q99075,1.760942,P05067_Q99075.pdb
P06340,P10721,122.018468,P06340_P10721.pdb
Q14517,Q9BZA7,-4.742811,Q14517_Q9BZA7.pdb
P13612,Q14242,26.232851,P13612_Q14242.pdb
Q9Y6N8,Q9HC56,-3.569735,Q9Y6N8_Q9HC56.pdb
P04626,Q9UHF4,7.237586,P04626_Q9UHF4.pdb
Q9NR61,Q9UM47,164.097547,Q9NR61_Q9UM47.pdb
P24071,A6NI73,358.24626,P24071_A6NI73.pdb
Q16620,P23470,9.149294,Q16620_P23470.pdb
P01732,P51805,-4.244743,P01732_P51805.pdb
P08069,P08922,43.749064,P08069_P08922.pdb
Q9Y5F3,Q9Y5E6,-5.829491,Q9Y5F3_Q9Y5E6.pdb
P10586,Q04912,318.852702,P10586_Q04912.pdb
P10721,P35916,54.073458,P10721_P35916.pdb
P13591,O60603,22.134143,P13591_O60603.pdb
Q08345,P35968,144.767347,Q08345_P35968.pdb
Q6GTX8,Q8NHJ6,40.25336,Q6GTX8_Q8NHJ6.pdb
P08069,P56199,148.680916,P08069_P56199.pdb
P05106,P23468,32.502392,P05106_P23468.pdb
P01906,P30511,305.598012,P01906_P30511.pdb
P19022,Q9ULB4,-5.274239,P19022_Q9ULB4.pdb
P57087,P43121,58.496196,P57087_P43121.pdb
Q9UGN4,Q6UXG3,49.473223,Q9UGN4_Q6UXG3.pdb
Q9HCJ2,Q16288,175.349256,Q9HCJ2_Q16288.pdb
Q14574,Q9Y5G5,-3.573956,Q14574_Q9Y5G5.pdb
Q9H159,O14917,1.867887,Q9H159_O14917.pdb
P40189,P40189,-3.845377,P40189_P40189.pdb
P54764,P16234,26.685184,P54764_P16234.pdb
O95727,Q9HB29,62.276253,O95727_Q9HB29.pdb
Q08554,Q9Y5F7,3.206402,Q08554_Q9Y5F7.pdb
P33681,P36888,16.306179,P33681_P36888.pdb
P06126,P20036,277.962853,P06126_P20036.pdb
Q14126,Q9Y5G3,-0.384162,Q14126_Q9Y5G3.pdb
Q15768,P08069,-4.7,Q15768_P08069.pdb
P19235,P08069,1.407337,P19235_P08069.pdb
A6H8M9,Q9UN74,-5.604107,A6H8M9_Q9UN74.pdb
O14917,Q9Y5I1,-4.918824,O14917_Q9Y5I1.pdb
P15813,Q14943,6.191414,P15813_Q14943.pdb
Q8NER5,Q9NZN1,-4.7,Q8NER5_Q9NZN1.pdb
Q8NI17,P08887,21.374486,Q8NI17_P08887.pdb
Q86SU0,Q9UKJ0,2.798303,Q86SU0_Q9UKJ0.pdb
Q15375,Q9HCK4,272.126881,Q15375_Q9HCK4.pdb
P54760,P46531,14.859033,P54760_P46531.pdb
Q14118,P18084,63.934248,Q14118_P18084.pdb
P43146,Q8N2Q7,277.973524,P43146_Q8N2Q7.pdb
Q9ULB4,Q9Y5I1,-1.081874,Q9ULB4_Q9Y5I1.pdb
Q9Y5E1,Q9Y5F7,-5.198826,Q9Y5E1_Q9Y5F7.pdb
P10321,P42081,244.416198,P10321_P42081.pdb
P01732,Q9NYK1,10.245717,P01732_Q9NYK1.pdb
P33681,P43146,87.978897,P33681_P43146.pdb
P40259,Q9BX67,108.046272,P40259_Q9BX67.pdb
Q9Y5H6,Q9UN75,-5.230948,Q9Y5H6_Q9UN75.pdb
Q13651,P05556,186.813062,Q13651_P05556.pdb
P42701,P19320,34.68535,P42701_P19320.pdb
P04629,Q16288,137.866939,P04629_Q16288.pdb
P22223,Q9Y5H6,1.094173,P22223_Q9Y5H6.pdb
P55283,Q14517,-6.63706,P55283_Q14517.pdb
P14778,Q92692,36.77552,P14778_Q92692.pdb
Q9Y6N8,Q9Y5F7,1.994188,Q9Y6N8_Q9Y5F7.pdb
P55285,Q9Y5G1,-1.98758,P55285_Q9Y5G1.pdb
Q02413,Q9Y5G4,3.135521,Q02413_Q9Y5G4.pdb
P05556,P16109,65.13016,P05556_P16109.pdb
Q8NER5,Q13705,-2.506535,Q8NER5_Q13705.pdb
O75121,P19320,42.330003,O75121_P19320.pdb
P21860,O94856,-2.765141,P21860_O94856.pdb
P00533,P24071,7.281276,P00533_P24071.pdb
P31994,P12314,362.727753,P31994_P12314.pdb
P12319,Q9Y2C9,-4.577233,P12319_Q9Y2C9.pdb
P05067,P01903,-4.7,P05067_P01903.pdb
Q9UM73,P54762,-2.930236,Q9UM73_P54762.pdb
A6H8M9,Q8TDW7,-5.683996,A6H8M9_Q8TDW7.pdb
P12319,Q6UXL0,5.934181,P12319_Q6UXL0.pdb
P55291,Q9Y5H2,-3.972248,P55291_Q9Y5H2.pdb
P07766,P17181,24.986479,P07766_P17181.pdb
P55289,Q9NRJ7,-3.375459,P55289_Q9NRJ7.pdb
Q9NYJ7,P04626,75.777241,Q9NYJ7_P04626.pdb
P16410,Q14943,81.34937,P16410_Q14943.pdb
O60469,Q9BTN0,540.01459,O60469_Q9BTN0.pdb
Q15256,Q92729,131.343806,Q15256_Q92729.pdb
P15813,Q15762,35.532574,P15813_Q15762.pdb
P26012,P10721,73.008872,P26012_P10721.pdb
P33681,P31785,13.616531,P33681_P31785.pdb
Q15375,P16871,4.419849,Q15375_P16871.pdb
P12319,P01589,-5.028168,P12319_P01589.pdb
P55287,Q9Y5F6,0.843782,P55287_Q9Y5F6.pdb
O75578,P53708,98.457817,O75578_P53708.pdb
P22607,Q06418,31.717713,P22607_Q06418.pdb
Q8TDW7,Q9Y5F8,-4.789051,Q8TDW7_Q9Y5F8.pdb
Q5JZY3,P16234,26.006992,Q5JZY3_P16234.pdb
P42081,Q9P1W8,138.701311,P42081_Q9P1W8.pdb
Q9Y5I0,Q9Y5G3,-4.313968,Q9Y5I0_Q9Y5G3.pdb
P48551,Q8NHL6,150.385058,P48551_Q8NHL6.pdb
P29017,Q01151,286.871114,P29017_Q01151.pdb
Q9Y5E1,Q9Y5I4,-5.215301,Q9Y5E1_Q9Y5I4.pdb
P16410,P14616,2.449943,P16410_P14616.pdb
P05067,Q6UXZ4,26.83547,P05067_Q6UXZ4.pdb
Q8IXH8,P33151,-4.224438,Q8IXH8_P33151.pdb
P20916,O95185,54.211724,P20916_O95185.pdb
Q9H251,Q9Y5G8,-4.063978,Q9H251_Q9Y5G8.pdb
P78324,P19438,-4.02481,P78324_P19438.pdb
Q8IW52,Q6ZN44,8.226335,Q8IW52_Q6ZN44.pdb
Q5ZPR3,Q9NQ25,94.660681,Q5ZPR3_Q9NQ25.pdb
P04626,Q86YT9,129.119874,P04626_Q86YT9.pdb
Q9Y6N8,Q08554,9.428686,Q9Y6N8_Q08554.pdb
P06340,O75144,20.036882,P06340_O75144.pdb
P20701,Q9NZQ7,4.358214,P20701_Q9NZQ7.pdb
Q86WK7,Q86UP0,-4.913316,Q86WK7_Q86UP0.pdb
P19022,Q9Y5E4,-1.450564,P19022_Q9Y5E4.pdb
P30530,P30530,148.371281,P30530_P30530.pdb
P16144,P18084,14.618446,P16144_P18084.pdb
P43146,P35590,165.927782,P43146_P35590.pdb
P10912,P42702,26.473923,P10912_P42702.pdb
P78552,Q9BQ51,8.298317,P78552_Q9BQ51.pdb
P05106,Q9UKJ1,25.17204,P05106_Q9UKJ1.pdb
O94856,Q96MS0,314.943365,O94856_Q96MS0.pdb
Q9UMF0,Q13332,362.727416,Q9UMF0_Q13332.pdb
P17301,Q13332,45.695359,P17301_Q13332.pdb
Q9UKJ8,O75077,-2.64184,Q9UKJ8_O75077.pdb
O00206,P35968,12.222066,O00206_P35968.pdb
Q7Z6A9,Q9NZQ7,18.398534,Q7Z6A9_Q9NZQ7.pdb
P15813,P01871,80.710126,P15813_P01871.pdb
P33151,Q9Y5H0,4.284789,P33151_Q9Y5H0.pdb
Q14118,Q14118,6.76255,Q14118_Q14118.pdb
Q96JA1,P19320,219.327133,Q96JA1_P19320.pdb
P10912,P14778,-5.03652,P10912_P14778.pdb
P33151,Q9Y5H8,-2.577247,P33151_Q9Y5H8.pdb
Q13308,Q01973,228.24792,Q13308_Q01973.pdb
Q14517,Q9Y5F2,-4.953302,Q14517_Q9Y5F2.pdb
Q9Y5F1,Q9NRJ7,-5.826926,Q9Y5F1_Q9NRJ7.pdb
Q86WK6,P12830,-3.864772,Q86WK6_P12830.pdb
Q6UWB1,Q8IU57,25.359245,Q6UWB1_Q8IU57.pdb
O75309,O95206,-5.54692,O75309_O95206.pdb
P16144,O60487,-4.862703,P16144_O60487.pdb
O60469,Q9H6D8,152.825578,O60469_Q9H6D8.pdb
P09564,P43627,98.096244,P09564_P43627.pdb
Q5JZY3,P30530,5.656285,Q5JZY3_P30530.pdb
Q6V0I7,Q9Y5G6,-4.995185,Q6V0I7_Q9Y5G6.pdb
P36896,P21802,0.160695,P36896_P21802.pdb
O75309,P19022,1.011687,O75309_P19022.pdb
P20036,P54764,106.315436,P20036_P54764.pdb
Q9ULH4,Q6PJG9,101.899773,Q9ULH4_Q6PJG9.pdb
Q99795,O75144,208.894723,Q99795_O75144.pdb
Q12864,Q9Y5I3,-4.911842,Q12864_Q9Y5I3.pdb
P15391,Q96LA6,289.732083,P15391_Q96LA6.pdb
Q13332,O14522,245.23423,Q13332_O14522.pdb
P01903,Q9UIW2,-4.7,P01903_Q9UIW2.pdb
Q13443,P32004,73.962594,Q13443_P32004.pdb
P21860,Q7Z7D3,-4.489745,P21860_Q7Z7D3.pdb
Q13740,P04626,194.138639,Q13740_P04626.pdb
Q9Y5H6,Q9Y5G6,-5.417792,Q9Y5H6_Q9Y5G6.pdb
P08887,P08887,-2.905721,P08887_P08887.pdb
P43627,P43627,15.490321,P43627_P43627.pdb
P12830,P55283,2.721442,P12830_P55283.pdb
P55289,Q9UN70,0.932856,P55289_Q9UN70.pdb
Q07954,O75096,1062.768764,Q07954_O75096.pdb
Q9Y5H8,Q9UN66,-5.532188,Q9Y5H8_Q9UN66.pdb
O75197,P19320,209.029454,O75197_P19320.pdb
P10966,Q29983,315.280732,P10966_Q29983.pdb
Q9Y5G5,Q9Y5F8,-4.912708,Q9Y5G5_Q9Y5F8.pdb
P08887,P05107,156.972459,P08887_P05107.pdb
P16070,P17181,174.705739,P16070_P17181.pdb
P05538,P30511,218.568783,P05538_P30511.pdb
P00533,Q6UXL0,103.392274,P00533_Q6UXL0.pdb
P13747,P43632,312.714278,P13747_P43632.pdb
P29323,Q99665,114.039915,P29323_Q99665.pdb
P08069,P04629,9.779791,P08069_P04629.pdb
P08887,Q9Y6N7,34.718632,P08887_Q9Y6N7.pdb
Q14943,Q92956,78.976484,Q14943_Q92956.pdb
Q9BZA8,Q9Y5F8,-4.410954,Q9BZA8_Q9Y5F8.pdb
P40197,Q6UWL6,2.776654,P40197_Q6UWL6.pdb
Q08554,Q9Y5H8,0.776707,Q08554_Q9Y5H8.pdb
Q5JZY3,O15146,29.536333,Q5JZY3_O15146.pdb
O60469,O00592,134.842114,O60469_O00592.pdb
P13612,P42702,128.743582,P13612_P42702.pdb
P09564,Q92956,-3.808986,P09564_Q92956.pdb
O75019,Q8N423,64.606526,O75019_Q8N423.pdb
Q6PJG9,O94991,16.866553,Q6PJG9_O94991.pdb
Q8TAB3,Q9Y5H9,-5.256222,Q8TAB3_Q9Y5H9.pdb
P82279,Q9Y4C0,1.14598,P82279_Q9Y4C0.pdb
P33681,P24394,14.923125,P33681_P24394.pdb
Q9Y5E4,Q08174,-4.767509,Q9Y5E4_Q08174.pdb
P10966,Q86XK7,144.259039,P10966_Q86XK7.pdb
P40189,Q9NR97,28.392932,P40189_Q9NR97.pdb
Q12864,Q8IXH8,0.095329,Q12864_Q8IXH8.pdb
P08637,P12314,380.863154,P08637_P12314.pdb
Q9HCL0,Q8TAB3,-4.846154,Q9HCL0_Q8TAB3.pdb
P55291,Q9NRJ7,-4.438866,P55291_Q9NRJ7.pdb
P18433,P28827,32.179643,P18433_P28827.pdb
P00533,A8MXK1,8.719766,P00533_A8MXK1.pdb
Q92729,P19320,40.397689,Q92729_P19320.pdb
Q8TD84,P54762,161.589693,Q8TD84_P54762.pdb
Q9UN74,Q9UN67,-5.256685,Q9UN74_Q9UN67.pdb
Q99062,Q8N149,59.367089,Q99062_Q8N149.pdb
Q9H159,Q86UP0,-5.422604,Q9H159_Q86UP0.pdb
P23229,P48357,124.144615,P23229_P48357.pdb
P98164,P46531,168.928306,P98164_P46531.pdb
Q9HBT6,Q96QU1,-4.315543,Q9HBT6_Q96QU1.pdb
Q99467,Q15399,150.968119,Q99467_Q15399.pdb
P53708,P16144,-9.885677,P53708_P16144.pdb
Q9Y639,P09619,74.506123,Q9Y639_P09619.pdb
P40189,P46531,167.242929,P40189_P46531.pdb
Q6Q8B3,Q6ZMC9,166.166962,Q6Q8B3_Q6ZMC9.pdb
Q8N423,Q8IYS5,40.548971,Q8N423_Q8IYS5.pdb
Q13634,Q9Y5E6,-2.355854,Q13634_Q9Y5E6.pdb
P04626,Q92692,98.589517,P04626_Q92692.pdb
P55286,Q9Y5F8,-2.457405,P55286_Q9Y5F8.pdb
O00481,Q8NHL6,129.686946,O00481_Q8NHL6.pdb
Q9UJ99,Q9Y5E4,0.831224,Q9UJ99_Q9Y5E4.pdb
Q30201,Q8WWQ8,-4.885947,Q30201_Q8WWQ8.pdb
Q9H4D0,Q8TDW7,7.323356,Q9H4D0_Q8TDW7.pdb
P06729,P10721,105.847446,P06729_P10721.pdb
Q9Y624,P46531,24.705238,Q9Y624_P46531.pdb
P20036,P21860,-4.7,P20036_P21860.pdb
Q9UN67,Q9Y5G5,-5.002904,Q9UN67_Q9Y5G5.pdb
P40259,P00533,5.204473,P40259_P00533.pdb
P15813,P09693,6.721623,P15813_P09693.pdb
P05556,Q15262,302.767306,P05556_Q15262.pdb
O15146,P17948,70.820649,O15146_P17948.pdb
Q9NYQ8,Q9UN66,-5.054444,Q9NYQ8_Q9UN66.pdb
P08174,Q99650,152.33667,P08174_Q99650.pdb
P12830,Q9ULB4,3.53661,P12830_Q9ULB4.pdb
P15151,Q9NQ25,168.612874,P15151_Q9NQ25.pdb
P36896,P36896,-6.003463,P36896_P36896.pdb
Q08334,P40189,29.19568,Q08334_P40189.pdb
Q9Y5E6,Q9Y5G3,-5.056874,Q9Y5E6_Q9Y5G3.pdb
Q9Y5E4,Q9Y5E3,-6.292071,Q9Y5E4_Q9Y5E3.pdb
Q9P2E7,O60330,-4.991484,Q9P2E7_O60330.pdb
Q99466,P09619,119.429837,Q99466_P09619.pdb
Q15303,Q9NZQ7,122.354239,Q15303_Q9NZQ7.pdb
P01889,P29016,102.498708,P01889_P29016.pdb
Q9Y5H6,Q9Y5E9,-5.409155,Q9Y5H6_Q9Y5E9.pdb
P55283,Q9Y5I1,-2.681873,P55283_Q9Y5I1.pdb
O15146,O14786,38.963672,O15146_O14786.pdb
Q14574,Q08174,-4.572824,Q14574_Q08174.pdb
P43626,Q14953,14.148124,P43626_Q14953.pdb
Q9NZ94,Q9ULB1,99.247028,Q9NZ94_Q9ULB1.pdb
P27037,P37173,8.057871,P27037_P37173.pdb
P78310,P10721,126.389901,P78310_P10721.pdb
P43628,P43629,271.783148,P43628_P43629.pdb
P29323,P23470,314.295252,P29323_P23470.pdb
Q12864,Q9Y5G2,-5.136629,Q12864_Q9Y5G2.pdb
P55285,Q9Y5G2,-1.888512,P55285_Q9Y5G2.pdb
